id,file_number,party_labeled,decision_category
id_acm_energy_permit_102,1,Holthausen Clean Energy B.V.,verguning verlening (grant)
id_acm_energy_permit_201,1,"Eneco Retail B.V., Eneco Consumenten B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_254,14,None / Multiple,verguning verlening (grant)
id_acm_energy_permit_6,1,DGB Energie B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_76,1,Bergop Beheer B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_38,1,Kikker Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_251,1,Dong Energy Sales B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_83,1,Delta Energie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_49,1,HalloStroom Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_275,2,Sepa Green Energy B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_93,1,EnergyZero B.V.,verguning verlening (grant)
id_acm_energy_permit_302,1,Qurrent Nederland B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_262,1,EnergyNext B.V.,verguning verlening (grant)
id_acm_energy_permit_97,1,Noord-Hollandse Energie Coöperatie,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_137,1,Unica Ecopower B.V.,verguning verlening (grant)
id_acm_energy_permit_279,1,Neosmart B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_68,1,Kelvin B.V.,verguning verlening (grant)
id_acm_energy_permit_166,1,Coöperatieve Duurzame Energie Unie U.A.,none
id_acm_energy_permit_7,1,"Greenchoice Zakelijk N.V., Greenchoice B.V.",overdracht (transfer)
id_acm_energy_permit_304,1,Allround Hollands Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_261,2,"NG&E Services 
Netherlands B.V.",intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_254,11,,verguning verlening (grant)
id_acm_energy_permit_283,2,Allure Energie B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_124,1,"Warmtelevering Wonen Limburg 
B.V.",verguning verlening (grant)
id_acm_energy_permit_254,20,,verguning verlening (grant)
id_acm_energy_permit_149,1,Delta Energy B.V.,verguning verlening (grant)
id_acm_energy_permit_139,1,Cogas Duurzaam B.V.,verguning verlening (grant)
id_acm_energy_permit_60,1,"Robin Energie 
B.V.",intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_7,2,"Greenchoice Zakelijk N.V., Greenchoice B.V.",overdracht (transfer)
id_acm_energy_permit_211,1,"BAS Nederland B.V. ",verguning verlening (grant)
id_acm_energy_permit_140,1,"DF SUEZ 
Energie Nederland N.V., ENGIE Energie Nederland N.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_161,1,powerpeers B.V.,verguning verlening (grant)
id_acm_energy_permit_264,2,E-Bascuul B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_9,1,Jord B.V. ,verguning verlening (grant)
id_acm_energy_permit_152,1,"Stichting Kleurrijk 
Wonen",verguning verlening (grant)
id_acm_energy_permit_245,2,Trianel Energie B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_51,1,Energie I&V B.V.,none
id_acm_energy_permit_247,1,Groene Energie Administratie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_242,1,Hello Yellow B.V.,verguning verlening (grant)
id_acm_energy_permit_183,1,GP Groot energie B.V.,verguning verlening (grant)
id_acm_energy_permit_254,2,,verguning verlening (grant)
id_acm_energy_permit_59,1, GasloOss Sibelius B.V. ,verguning verlening (grant)
id_acm_energy_permit_80,1," E.ON Benelux Levering B.V., Eneco Zuid 
Nederland B.V. ",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_55,1,,none
id_acm_energy_permit_20,1,Zonneplan Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_142,1,Vaanster III B.V.,verguning verlening (grant)
id_acm_energy_permit_73,1,Inenergie,verguning verlening (grant)
id_acm_energy_permit_18,1,"E&G Trading Wholesale B.V.,
Yebbo B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_79,1,"Ingenieursbureau 
Wolter & Dros B.V., Croonwolter&dros B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_173,1,ServiceHouse B.V.,verguning verlening (grant)
id_acm_energy_permit_245,1,Trianel Energie B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_35,1,"Groene Energie Administratie B.V., 
Greenchoice B.V. ",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_3,2,Qwint B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_186,1,Slim met Energie B.V. ,verguning verlening (grant)
id_acm_energy_permit_216,1,Innova Energie B.V. ,verguning verlening (grant)
id_acm_energy_permit_46,1,Hydreco B.V.,verguning verlening (grant)
id_acm_energy_permit_288,1,Shell Energy Retail B.V.,verguning verlening (grant)
id_acm_energy_permit_82,1,"Delta Comfort B.V., Delta Energie B.V. ",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_85,1,"ConceptsnSolutions 
B.V.",verguning verlening (grant)
id_acm_energy_permit_254,23,,verguning verlening (grant)
id_acm_energy_permit_21,1,"Zonneplan Energie 
B.V.",verguning verlening (grant)
